Round,ExecutionTimeMs,AvgPauseMs,ThroughputPercent,CpuUsagePercent,GCCountDelta,GCTimeDeltaMs,MemoryBeforeMB,MemoryAfterMB,Checksum
1,256,3.80,92.58,7.23,5,19,571.38,276.39,275424
2,227,3.75,93.39,6.00,4,15,297.88,526.79,275424
3,595,8.40,92.94,2.95,5,42,526.79,185.12,275424
4,947,7.25,96.94,1.65,4,29,185.12,383.95,275424
5,828,4.25,97.95,2.83,4,17,383.95,587.75,275424
6,511,4.80,95.30,4.58,5,24,587.75,281.66,275424
7,387,4.50,95.35,6.55,4,18,281.66,495.24,275424
8,493,3.80,96.15,4.16,5,19,495.24,172.22,275424
9,396,5.25,94.70,5.67,4,21,172.22,376.07,275424
10,582,6.50,95.53,3.69,4,26,376.07,557.17,275424
11,378,4.00,94.71,6.19,5,20,557.17,166.61,275424
12,373,6.00,93.57,5.22,4,24,166.61,355.74,275424
13,503,5.00,96.02,4.66,4,20,355.74,540.07,275424
14,717,4.20,97.07,3.68,5,21,540.07,185.10,275424
15,306,4.75,93.79,6.69,4,19,185.10,396.22,275424
